ID_1	ISSN	ShortName	LongName	Year	SciSS	ISI_Category	ISI	ImpactFactor	IF_percentile	Citation_2yr	Article_2yr	Citation_ALL	Eigenfactor	EF_percentile	ArticleInfluence	AI_percentile	Citation_5yr	SelfCitation_5yr	Article_5yr	Notes	ID_2	RowUpdate	CatName	CatID	Price	Country	First_Pub	Publisher	normPrice	CE	EFn
NULL	0098-3500	ACM T MATH SOFTWARE	ACM TRANSACTIONS ON MATHEMATICAL SOFTWARE	2014	Sci	A7 PN	ISI	NULL	NULL	NULL	NULL	NULL	0.00464604	0.684286	2.10499	0.942589	359	NULL	139	NULL	0	2016-02-10 17:40:35	MATHEMATICS	8	187.00	United-States	1975	Association-for-Computing-Machinery,-Inc	NULL	NULL	0.520356
NULL	1049-3301	ACM T MODEL COMPUT S	ACM Transactions on Modeling and Computer Simulation	2014	Sci	EV PN	ISI	NULL	NULL	NULL	NULL	NULL	0.00119359	0.350804	0.689618	0.639643	101	NULL	109	NULL	0	2016-02-10 17:40:35	NULL	0	160.00		0		NULL	NULL	0.133682
NULL	1551-6857	ACM T MULTIM COMPUT	ACM Transactions on Multimedia Computing Communications and Applications	2014	Sci	ET A7 EX	ISI	NULL	NULL	NULL	NULL	NULL	0.00181828	0.458482	0.636163	0.604286	173	NULL	180	NULL	0	2016-02-10 17:40:35	NULL	0	128.00		0		NULL	NULL	0.203647
NULL	0164-0925	ACM T PROGR LANG SYS	ACM TRANSACTIONS ON PROGRAMMING LANGUAGES AND SYSTEMS	2014	Sci	A7	ISI	NULL	NULL	NULL	NULL	NULL	0.00199398	0.482143	1.42699	0.889018	77	NULL	88	NULL	0	2016-02-10 17:40:35	NULL	0	236.00	United-States	1979	Association-for-Computing-Machinery,-Inc	NULL	NULL	0.223326
NULL	1936-7406	ACM T RECONFIG TECHN	ACM Transactions on Reconfigurable Technology and Systems	2014			ISI	NULL	NULL	NULL	NULL	NULL	0.000686536	0.221607	0.34044	0.349464	62	NULL	127	NULL	0	2016-02-10 17:40:35	NULL	0	0.00		0		NULL	NULL	0.076892
NULL	1550-4859	ACM T SENSOR NETWORK	ACM Transactions on Sensor Networks	2014	Sci	ET YE	ISI	NULL	NULL	NULL	NULL	NULL	0.0033777	0.610089	0.98938	0.788036	398	NULL	215	NULL	0	2016-02-10 17:40:35	NULL	0	128.00		0		NULL	NULL	0.378302
NULL	1049-331X	ACM T SOFTW ENG METH	ACM TRANSACTIONS ON SOFTWARE ENGINEERING AND METHODOLOGY	2014	Sci	A7	ISI	NULL	NULL	NULL	NULL	NULL	0.00161464	0.426786	1.0483	0.808839	107	NULL	97	NULL	0	2016-02-10 17:40:35	NULL	0	170.00	United-States	1992	Association-for-Computing-Machinery,-Inc	NULL	NULL	0.180839
NULL	1553-3077	ACM T STORAGE	ACM Transactions on Storage	2014	NULL	EW	ISI	NULL	NULL	NULL	NULL	NULL	0.000603517	0.198571	0.678707	0.632857	45	NULL	56	NULL	0	2016-02-10 17:40:35	NULL	0	NULL	NULL	NULL	NULL	NULL	NULL	0.0675939
NULL	1559-1131	ACM T WEB	ACM Transactions on the Web	2014	Sci	ET A7	ISI	NULL	NULL	NULL	NULL	NULL	0.0020145	0.484821	1.29456	0.868304	176	NULL	98	NULL	0	2016-02-10 17:40:35	NULL	0	124.00		0		NULL	NULL	0.225624
NULL	0814-6039	ACOUST AUST	Acoustics Australia	2014	Sci	AA	ISI	NULL	NULL	NULL	NULL	NULL	0.00027522	0.0901786	0.159014	0.148125	40	NULL	109	NULL	0	2016-02-10 17:40:35	NULL	0	0.00		0		NULL	NULL	0.0308246
